# freq_centers,unsmoothed_acf,smoothed_acf
2.161952452612850628e+00,2.811346720656574937e-03,3.201511465749359419e-03
2.210044418191700721e+00,2.280024229976155485e-04,3.272360054584208880e-03
2.262508380641355732e+00,1.562096306518173487e-03,3.484933165960925946e-03
2.310600346220205825e+00,3.969830436012489715e-03,3.828331111796903687e-03
2.360878310234457711e+00,4.575656642486045263e-03,4.185465934420712006e-03
2.411156274248710041e+00,4.280590690001956529e-03,4.425180924075278015e-03
2.463620236698365051e+00,3.474033975431836067e-03,4.749947668570991127e-03
2.518270197583421854e+00,3.629813756025880751e-03,5.389300713421709375e-03
2.572920158468479102e+00,4.838498597979589561e-03,5.815069270039373642e-03
2.627570119353535461e+00,5.654169714571661946e-03,5.870165531971500809e-03
2.682220080238592708e+00,5.537428324939023226e-03,5.617203970921216989e-03
2.739056039559051747e+00,5.475796700584228439e-03,5.368692769588800234e-03
2.795891998879510787e+00,5.473380025203618618e-03,4.982847700829584787e-03
2.857099955070774744e+00,5.055184935082280596e-03,4.589256575162554627e-03
2.916121912826636020e+00,4.421850959933710384e-03,4.008824774738134998e-03
2.975143870582497296e+00,2.500310451146585747e-03,3.433768648064273055e-03
3.038537825209163490e+00,2.241756121425339532e-03,2.822459057841865231e-03
3.099745781400427447e+00,3.084854605830715719e-04,2.230767820326609845e-03
3.163139736027093196e+00,4.007150731800943099e-04,2.096398589476123481e-03
3.226533690653759390e+00,7.652242522947066419e-05,2.881300832021020924e-03
3.294299642151229612e+00,9.362966221385058416e-04,2.641215088264035980e-03
3.359879595213298042e+00,5.221247170316780685e-04,2.768429888383297250e-03
3.427645546710768709e+00,6.214459006928527499e-04,2.680098472420276191e-03
3.493225499772836695e+00,4.370988538050607670e-03,2.781828218865754591e-03
3.563177449705709599e+00,8.975416538984409137e-03,2.863866587126836800e-03
3.635315398073984738e+00,4.971400618622841272e-03,2.837361699375152892e-03
3.705267348006857642e+00,3.544005587329903274e-03,2.879344944908405687e-03
3.779591294810535018e+00,1.661172614529954307e-03,2.786658852093984798e-03
3.851729243178810602e+00,3.152240591677983681e-03,2.997505896430779134e-03
3.928239188417890659e+00,1.042731469016941253e-03,3.361772127419723494e-03
4.002563135221567592e+00,1.634954837591040024e-04,3.400653739635585860e-03
4.079073080460647205e+00,4.522738097010382580e-04,3.476230025293731377e-03
4.159955022570531291e+00,1.067531398773628249e-04,4.094248088447618138e-03
4.238650966245013585e+00,2.409212478232462731e-03,4.732902682602211503e-03
4.319532908354897671e+00,3.881640268036978033e-03,5.906489698010488829e-03
4.400414850464781757e+00,4.718980205560574862e-03,6.779574743232227516e-03
4.483482791010068524e+00,9.651826702338125660e-03,7.790611440012354047e-03
4.568736729990757084e+00,1.050268196452497707e-02,8.662595773312188954e-03
4.653990668971445643e+00,9.259984542855016765e-03,9.231408150359162595e-03
4.739244607952134203e+00,1.216481377510296100e-02,1.005321240676879807e-02
4.826684545368225443e+00,1.096637954964987949e-02,9.859076449979867207e-03
4.916310481219719364e+00,1.009154210148211980e-02,9.920983061334541150e-03
5.005936417071212396e+00,7.967783034977984902e-03,9.791416686281615572e-03
5.095562352922705429e+00,5.543162698000019678e-03,9.076389841856541754e-03
5.189560285645003823e+00,7.461927404953387806e-03,7.970448762599233530e-03
5.283558218367301329e+00,6.716894827466463134e-04,7.176232151366744062e-03
5.377556151089598835e+00,4.435706411066311396e-03,5.962168717340879734e-03
5.475926080682700814e+00,3.559357022818801508e-03,4.782308644978814152e-03
5.574296010275803681e+00,3.252313674831561023e-03,3.713364793669020076e-03
5.672665939868906548e+00,6.044740866759145195e-04,2.829020031430581460e-03
5.773221867897411208e+00,2.151720580638094658e-03,2.213364821819011063e-03
5.873777795925915868e+00,1.298907378938225386e-03,1.538007261628338875e-03
5.978705720825225001e+00,4.065943295760978348e-04,1.641704113397480548e-03
6.083633645724534134e+00,5.244605919334107379e-04,1.391059773038407638e-03
6.188561570623843267e+00,5.286925114294237124e-05,1.246646965671276792e-03
6.295675493958555080e+00,3.302896654626360135e-05,1.077575590006873106e-03
6.404975415728669574e+00,1.417455734605977801e-03,1.188147284857218183e-03
6.516461335934184973e+00,1.599779608288191043e-03,1.057463895746106868e-03
6.627947256139701260e+00,2.192431583128349754e-03,9.322985457546752001e-04
6.739433176345217547e+00,2.266857798082919789e-03,1.031533634826781480e-03
6.855291093421537418e+00,1.739119478587388377e-03,1.027985712952815198e-03
6.971149010497859067e+00,1.594094276722377327e-03,1.157600977651263062e-03
7.089192926009581619e+00,9.821000865044633883e-04,1.509967231886693954e-03
7.207236841521304171e+00,1.786735106466925353e-04,1.397055323091711499e-03
7.329652753903831197e+00,1.294751536895139042e-03,1.358287175882280868e-03
7.452068666286359111e+00,4.927065781784722032e-04,1.289761615673838029e-03
7.576670577104288817e+00,1.212929997769005615e-03,1.057945184446743058e-03
7.701272487922217636e+00,2.307361112488385754e-03,9.931094235405529391e-04
7.828060397175550023e+00,2.392491913205652219e-03,8.617583443569159325e-04
7.954848306428881521e+00,3.226767902834273881e-04,7.748956217640763687e-04
8.086008212553018382e+00,1.223888776858301228e-03,7.959838772966741074e-04
8.219354117112557034e+00,1.528016808241077894e-03,7.979633520927343661e-04
8.350514023236694783e+00,1.919631964462343999e-05,8.772189679033663180e-04
8.486045926231636116e+00,1.110480510060955339e-03,8.711870212394192325e-04
8.623763827661978354e+00,3.205315733817337871e-04,9.833180697235580428e-04
8.761481729092322368e+00,1.398906087261747903e-04,8.430001899563762573e-04
8.903571627393468191e+00,3.831424490958822257e-04,9.827899123897028237e-04
9.043475527259214886e+00,1.313944262894300129e-03,1.037891721230101453e-03
9.187751423995766942e+00,1.261158554013397512e-03,1.083252533555354672e-03
9.334213319167718126e+00,1.154445040146367171e-03,1.229911594873712554e-03
9.480675214339671086e+00,3.394568938441826569e-03,1.271112032855099957e-03
9.629323107947026728e+00,1.031988296532046056e-03,1.463814362346122205e-03
9.780156999989781497e+00,1.678059463253529695e-03,1.738010483603061795e-03
9.933176890467942499e+00,1.758148632672868047e-03,2.012678401260206001e-03
1.008619678094610173e+01,1.967829249293893620e-03,2.256955651606621250e-03
1.024358866829506454e+01,1.441183194536454397e-03,2.472372176574885814e-03
1.040098055564402735e+01,1.509954511344461332e-03,2.645997397032442706e-03
1.056055844142839462e+01,2.188947891023977372e-03,2.562537199381029196e-03
1.072232232564816279e+01,2.798459960450304027e-03,2.596976416905629349e-03
1.088627220830333542e+01,3.046286276359961437e-03,2.653024559897751346e-03
1.105240808939390718e+01,3.682424196590619765e-03,2.531018577952223736e-03
1.121854397048447893e+01,3.349808708910695029e-03,2.435466233422188976e-03
1.138686585001045515e+01,2.837892229985576435e-03,2.299515066738031140e-03
1.155955972640723495e+01,2.585349892790319778e-03,2.197924898850050351e-03
1.173225360280401475e+01,1.365906397884275288e-03,2.019761385832463760e-03
1.190713347763619723e+01,2.221494849928004351e-03,1.767687138211471989e-03
1.208638534933918329e+01,5.751947570290942601e-04,1.472002630756852597e-03
1.226345122260676845e+01,1.041366345703475561e-03,1.176603154908005934e-03
1.244488909274515720e+01,1.230186507756305617e-04,8.459872752102721907e-04
1.262851296131894685e+01,5.249496704830946409e-04,5.616615357679082031e-04
1.281432282832814096e+01,4.614980163402705726e-04,3.320157479371617609e-04
1.300231869377273775e+01,3.543813716940809712e-04,2.108549079427931715e-04
1.319031455921733276e+01,1.793683721425256791e-04,1.834026983384710245e-04
1.338268242153273313e+01,8.182699211506559104e-04,3.140543170960755515e-04
1.357723628228353618e+01,1.442008362374728309e-04,3.445498880134885726e-04
1.377179014303433746e+01,8.110743914806016865e-05,4.486052922251368077e-04
1.397071600065594410e+01,3.587346858331815717e-04,5.605549087831086623e-04
1.416964185827755252e+01,1.911469068981206494e-04,5.692278485315206043e-04
1.437293971276996452e+01,1.955321853911158678e-03,6.304844457390914193e-04
1.457623756726237474e+01,1.841975584525292137e-03,6.905607842109411955e-04
1.478390741862559210e+01,1.337047370776734681e-03,7.407069532005921804e-04
1.499157726998880946e+01,1.730440379225886560e-03,7.353797182813471417e-04
1.520361911822282863e+01,1.291963389519923617e-03,7.914339030703900846e-04
1.541784696489225226e+01,6.155099385756832974e-04,8.245228405989302569e-04
1.563426080999708034e+01,1.101121261338956162e-03,9.424138368870474186e-04
1.585067465510190488e+01,9.816807045446248638e-04,1.342507687584752101e-03
1.607364649551293567e+01,7.029798163878978826e-04,1.628536523006835412e-03
1.629443233748856557e+01,7.626445119498855181e-04,2.020606657133717544e-03
1.651959017633500082e+01,7.295020316178185346e-04,2.138923512147382702e-03
1.674693401361683698e+01,4.266123245050881525e-04,2.138382528048825889e-03
1.697864984776948205e+01,1.589717551995619175e-03,2.461887839409942439e-03
1.720817968348671556e+01,4.368808395670075763e-03,4.334752328869624985e-03
1.744426751451016600e+01,4.941950237070127060e-03,6.066274077317713835e-03
1.768254134396901378e+01,5.935855801337456758e-03,8.038791931758581741e-03
1.792300117186326247e+01,2.572476927620059514e-03,1.059562535854659260e-02
1.816346099975751116e+01,1.724791583497980660e-03,1.222150285174900333e-02
1.840829282452256876e+01,4.669910034612593380e-03,1.381162101806785066e-02
1.865531064772302372e+01,2.017140623055826629e-02,2.494099703825997105e-02
1.890451446935888313e+01,1.918115851471874356e-02,3.463970484571066155e-02
1.915809028786554791e+01,2.157812791822330198e-02,4.391084231623289258e-02
1.941166610637221268e+01,2.740067717332054023e-02,5.550635932239422060e-02
1.966961392174967926e+01,1.773957574187986358e-02,6.569961304811136604e-02
1.992974773556255030e+01,1.733304496146432019e-02,9.576471742915997065e-02
2.019206754781082225e+01,1.166362604171682360e-01,1.238401508582081118e-01
2.045657335849450220e+01,1.028607519040142804e-01,1.534947773697016293e-01
2.072763716448438132e+01,1.011752799277096521e-01,1.783865193954505546e-01
2.099651497203886308e+01,1.260189044431009320e-01,2.038053866751066145e-01
2.126976477646414665e+01,1.123707921567691226e-01,2.224863297813961527e-01
2.154520057932483112e+01,3.165033921605955314e-01,2.713642422954474775e-01
2.182282238062092006e+01,2.948801520385000985e-01,3.163213517019993759e-01
2.210700217722321881e+01,3.143147369294567173e-01,3.621716621793051871e-01
2.238899597539011310e+01,2.800836040013460759e-01,4.121705739759967679e-01
2.267754776886321366e+01,2.845974420622975898e-01,4.531860294865004413e-01
2.296609956233631067e+01,2.166390028929102152e-01,5.363287921290478266e-01
2.326120935111561749e+01,5.377693629340004611e-01,6.159502039633051318e-01
2.355631913989492787e+01,4.871683967215997280e-01,7.009582853294534788e-01
2.385361492710963560e+01,4.960884069727724555e-01,7.444688358586084576e-01
2.415528271119515225e+01,6.387100886684418111e-01,7.934806859912060251e-01
2.445913649371606624e+01,5.311319903443558754e-01,8.562869019628159828e-01
2.476736227310778915e+01,9.693273821311414462e-01,9.092770793952926756e-01
2.507558805249950851e+01,9.574021044637177624e-01,9.561352840799981490e-01
2.538818582876203322e+01,1.000000000000000000e+00,1.000000000000000000e+00
2.570515560189536330e+01,7.708276737858518191e-01,9.655199985968039300e-01
2.602431137346409429e+01,8.066473747422586715e-01,9.496347012188198766e-01
2.634565314346822973e+01,9.701186420945353550e-01,9.320609212142035860e-01
2.667136691034316698e+01,8.333913420653178417e-01,8.968259711448285376e-01
2.699926667565351579e+01,7.738769368681177596e-01,8.703521559178375444e-01
2.732935243939925485e+01,6.746613746323123495e-01,8.014415557275227364e-01
2.766381020001580282e+01,6.520080608291585200e-01,7.328381853925722833e-01
2.800263995750315615e+01,2.462378479250438013e-01,6.598295429789515776e-01
2.834146971499050949e+01,3.094509999748288887e-01,6.020214015358977822e-01
2.868685746778406909e+01,2.994810436287718702e-01,5.381287627259860873e-01
2.903443121901302959e+01,2.445176822039427655e-01,4.581237308722233004e-01
2.938200497024199365e+01,2.349551286749996803e-01,3.912929898217080149e-01
2.973613671677716042e+01,1.983872994447977156e-01,3.283815109670367161e-01
3.009245446174773519e+01,1.898991680138625293e-01,2.730677288342993614e-01
3.045314420358910823e+01,1.832129068136428007e-01,2.192033731565497523e-01
3.081601994386588217e+01,1.240967902792627781e-01,2.011330027852765989e-01
3.118326768101346502e+01,9.184593474428143223e-02,1.765483927214238913e-01
3.155270141659644878e+01,7.505916354812516844e-02,1.522157983521392755e-01
3.192432115061483699e+01,8.571976629641231415e-02,1.315208230525479471e-01
3.230031288150402702e+01,7.005226292547131473e-02,1.114333087026249253e-01
3.268067660926402596e+01,5.583623520042014371e-02,9.469678124123168117e-02
3.306541233389482670e+01,4.939843755835118810e-02,7.847898972331873724e-02
3.345233405696102835e+01,4.407486008677827249e-02,6.283396585408833335e-02
3.384144177846263091e+01,3.440969626983087643e-02,5.200380997623326590e-02
3.423492149683504238e+01,2.725917553849766320e-02,4.401573846655932459e-02
3.463277321207825565e+01,1.299182225502402456e-02,3.748117364874972712e-02
3.503281092575687694e+01,1.022526228110190796e-02,2.996653814922701012e-02
3.543722063630629293e+01,1.114673225580081056e-02,2.376138157975947809e-02
3.584381634529111693e+01,8.461979841367943747e-03,1.877419663442958866e-02
3.625697004958214364e+01,8.183579510389114506e-03,1.443744242681992314e-02
3.667230975230857837e+01,2.933990290284399418e-03,1.055555219248064704e-02
3.708983545347041400e+01,2.479066756415875504e-03,7.522504347106607515e-03
3.750954715306765763e+01,1.953459533818257231e-03,5.105057938476018770e-03
3.793800284640649778e+01,1.649482517720069581e-03,4.015405866334317321e-03
3.836645853974534504e+01,6.318268019248778934e-04,3.216641984504808958e-03
3.879928622995499410e+01,4.190510452450998453e-05,2.295644104254026749e-03
3.923648591703545208e+01,8.808272317639595202e-04,1.641752118931726892e-03
3.967587160255130385e+01,6.460585674810795159e-04,1.105533163806526409e-03
4.012181528337336545e+01,4.773527661251117079e-04,9.964155999019502254e-04
4.056994496263084216e+01,2.138976130065042564e-04,8.323299631788815206e-04
4.102244663875910646e+01,8.012963232191817322e-04,7.203980416920508769e-04
4.147713431332277878e+01,1.289059557517827212e-03,6.748776575692612455e-04
4.193837998319266092e+01,8.430318092289171110e-04,7.554084833397711491e-04
4.240181165149795106e+01,1.146537226732845163e-03,7.660750447037052149e-04
4.286961531667402880e+01,2.184608605179854356e-03,7.146381734475442749e-04
4.333960498028552166e+01,1.713233200565285720e-03,9.654348805041072746e-04
4.381615263920321723e+01,6.433521639792974013e-04,1.188799948025829646e-03
4.429488629655631371e+01,7.012167066192723751e-04,1.270615849608200312e-03
4.477799195078021910e+01,1.140221408360734623e-03,1.340870127235647231e-03
4.526546960187492630e+01,1.532768620844661379e-03,1.539933517735502747e-03
4.575731924984044241e+01,1.612376843769506196e-04,1.776562605458561735e-03
4.625135489624135232e+01,3.053751870881848789e-04,1.915771670431917805e-03
4.675194853794847916e+01,3.451856710896816782e-03,2.125713088669940742e-03
4.725472817809099979e+01,2.976258350300233554e-03,2.059167593324677352e-03
4.776406581353973024e+01,1.129216268725245342e-03,2.094563009430826586e-03
4.827558944742386160e+01,1.587268850719898141e-03,2.044365040701602489e-03
4.879148507817879477e+01,3.516089162657613093e-03,2.045782031176762890e-03
4.931393870423994485e+01,3.490329147394440751e-03,1.955323348802638379e-03
4.983857832873648874e+01,3.373205372428553055e-03,1.936069883808103857e-03
5.036758995010384155e+01,3.651847065102545916e-03,2.133574071836961353e-03
5.090097356834199616e+01,1.390496201887155177e-03,2.316023723577339492e-03
5.143654318501555167e+01,2.135620002312941038e-03,2.168187608133956626e-03
5.197867079699531700e+01,4.432093908342365612e-05,2.054561555417593749e-03
5.252517040584588415e+01,7.181261864546027631e-04,2.161679409470520109e-03
5.307604201156726020e+01,6.074395784206274311e-05,2.220093856144400839e-03
5.363128561415943096e+01,1.303009787745676353e-03,2.031591329374653546e-03
5.419090121362241774e+01,2.518129380835447406e-03,1.842912779720003993e-03
5.475488880995620633e+01,2.482615444625462398e-03,1.684640771650220119e-03
5.532324840316079673e+01,1.687672789519519944e-03,1.422150048379356357e-03
5.589597999323618893e+01,1.620315963349831757e-03,1.414503435280628930e-03
5.647308358018239005e+01,2.407493875288746997e-03,1.283611363218278411e-03
5.705674516243480809e+01,2.284350394625035870e-03,1.387458025971711160e-03
5.764259274312261283e+01,1.266617672766226889e-03,1.335077368368885577e-03
5.823499831911662739e+01,1.238757110269331262e-03,1.529066240933649916e-03
5.882958989354604995e+01,1.484486022604025561e-03,1.615190850119707557e-03
5.943073946328167523e+01,5.194466221099622999e-04,1.752428510241371175e-03
6.003626102988810942e+01,1.299246294235637368e-03,1.949860943785258587e-03
6.064396859492993741e+01,5.736357180560099078e-04,2.248147170744761465e-03
6.125823415527798232e+01,1.283562190578961494e-03,2.332406787004491933e-03
6.187905771093222285e+01,9.304811499063437240e-05,2.166544274043304390e-03
6.250206726502187138e+01,2.375686073836254502e-03,1.997931287201895612e-03
6.313163481441772262e+01,2.330767114196362517e-03,1.965164835481963707e-03
6.376557436068438989e+01,4.155837952032337412e-03,2.063000658935314029e-03
6.440388590382185896e+01,4.838650867849970602e-03,2.012772957393407086e-03
6.504656944383012274e+01,5.247234429731757049e-03,1.991850972731884495e-03
6.569581097914459633e+01,2.625817628359192711e-03,1.930834410629041166e-03
6.634942451132988595e+01,4.281941781357636407e-04,2.004864314090109689e-03
6.700522404195055515e+01,2.722282590502902349e-04,2.019427829564124279e-03
6.766976756631285639e+01,8.756032909859706422e-04,2.099845248605866285e-03
6.833649708911055143e+01,2.406268757565079713e-03,1.930960675732754919e-03
6.901197060564985009e+01,8.850999848810219830e-04,1.756998539372135347e-03
6.968963012062455675e+01,2.697767168066429592e-04,1.470956123173469514e-03
7.037384763090545903e+01,5.711127290596723638e-04,1.158758520198744724e-03
7.106243713805719153e+01,1.457062375983502432e-03,8.680247721474088464e-04
7.175539864207971164e+01,1.457354093598929286e-03,8.422716017710479364e-04
7.245491814140844156e+01,1.052699396726557244e-03,9.238237098535844903e-04
7.315880963760797329e+01,3.603230000850422290e-04,1.068750787069678134e-03
7.386707313067830682e+01,2.548115672354120940e-04,1.072262806182538736e-03
7.458189461905485018e+01,7.423863067687109553e-04,9.027042191915520030e-04
7.530327410273760336e+01,1.113079549849040539e-03,8.396001031234976136e-04
7.602683958485576454e+01,1.777799358500100745e-03,8.321952730642260534e-04
7.675914906071551513e+01,2.318495368394468854e-03,8.105387471335214703e-04
7.749364453501067374e+01,1.401386130603793747e-03,7.366142977444266804e-04
7.823469800461205637e+01,2.001697534064862411e-03,6.420843403953409431e-04
7.898230946951963460e+01,9.175135348522731570e-04,5.942115646927562935e-04
7.973429293129802886e+01,3.828624200554021722e-04,5.716686447901497695e-04
8.049064838994721072e+01,1.320548537498365804e-04,6.463425059295079770e-04
8.125356184390260239e+01,1.814120970253412022e-04,6.175796854753101304e-04
8.202303329316420388e+01,3.126772667556655455e-04,5.958032653227885887e-04
8.279687673929659297e+01,5.748941411257886287e-04,5.751373852843933441e-04
8.357727818073522030e+01,3.292925888470260619e-04,4.862208498731175632e-04
8.436205161904462102e+01,2.734907435420942537e-04,4.375553611974411592e-04
8.515119705422486618e+01,1.038056161212073079e-03,2.807427902178043894e-04
8.594908648314668653e+01,7.449654449662897735e-05,2.178172805482791118e-04
8.675134790893932291e+01,1.201617267063868509e-03,3.195275724123149814e-04
8.755798133160276109e+01,3.776964148351115306e-04,3.304666754679834299e-04
8.837335874800780289e+01,8.369717069213987448e-04,3.199817073000812951e-04
