# bin_centers,CoVs,smoothed_CoVs,FAPs
4.079085713443738825e+00,1.074797179253841106e+00,1.055614382571120391e+00,1.297359375000000092e+00
4.209351394385827838e+00,1.098684283485830804e+00,1.050479104068607006e+00,1.294687499999999991e+00
4.342783521675503522e+00,1.065338993064667505e+00,1.050093757275874395e+00,1.290234375000000044e+00
4.479435178446710353e+00,1.076925612968148371e+00,1.050392763615756841e+00,1.285781250000000098e+00
4.619359941070501741e+00,1.047212021944492477e+00,1.051279795194334232e+00,1.282218749999999963e+00
4.762611880071701442e+00,9.986423068833563121e-01,1.053554043333949197e+00,1.278656250000000050e+00
4.909245561040235017e+00,9.996967695963495659e-01,1.058773777552584283e+00,1.273312500000000069e+00
5.059316045537199713e+00,9.951226174396284874e-01,1.058617960842862527e+00,1.269750000000000156e+00
5.212878891995745612e+00,9.566270370192124783e-01,1.051694805428867285e+00,1.265296874999999988e+00
5.369990156616827548e+00,9.580440910233667395e-01,1.047418134068776041e+00,1.260843750000000041e+00
5.530706394259903291e+00,1.059946297244488633e+00,1.045443278972889800e+00,1.256390625000000094e+00
5.695084659328636612e+00,1.063678304819654974e+00,1.046149479122512327e+00,1.252828125000000181e+00
5.863182506651672732e+00,1.104219239792401552e+00,1.046021993227015168e+00,1.247484374999999979e+00
6.035057992358545675e+00,1.117256653270281008e+00,1.051832830862530876e+00,1.243031250000000032e+00
6.210769674750778790e+00,1.139025597285452385e+00,1.057420845503420637e+00,1.237687500000000052e+00
6.390376615168241514e+00,1.082419333621365443e+00,1.061201937460881206e+00,1.233234375000000105e+00
6.573938378850819220e+00,9.626693692137490155e-01,1.065042465868142108e+00,1.228781250000000158e+00
6.761515035795451212e+00,1.020087666868038090e+00,1.065314410248219490e+00,1.226179687500000171e+00
6.953167161608599045e+00,1.043028925690583808e+00,1.066147336710957960e+00,1.224539062500000108e+00
7.148955838354195791e+00,1.088214982096667116e+00,1.068501203536111221e+00,1.222898437500000046e+00
7.348942655397133095e+00,1.096262051471384336e+00,1.072611066803175417e+00,1.221531250000000179e+00
7.553189710242341093e+00,1.175744908139468858e+00,1.073366416818667846e+00,1.219617187500000144e+00
7.761759609369506485e+00,1.183097891145050040e+00,1.073908765058452675e+00,1.217976562500000082e+00
7.974715469063490936e+00,1.119052769136249736e+00,1.072493238927795911e+00,1.216335937500000020e+00
8.192120916240492434e+00,1.071612346621307887e+00,1.067608139764848696e+00,1.214695312500000179e+00
8.414040089269999356e+00,1.004863712817822385e+00,1.062008296098426952e+00,1.213054687500000117e+00
8.640537638792594066e+00,1.010948220231652872e+00,1.057888998466722796e+00,1.211414062500000055e+00
8.871678728533641589e+00,1.001350506697130882e+00,1.059840665511098123e+00,1.209500000000000020e+00
9.107529036112920195e+00,1.036131493097586675e+00,1.058999729821271885e+00,1.207859375000000179e+00
9.348154753850240084e+00,1.074297947538843001e+00,1.056221551808999237e+00,1.205945312500000144e+00
9.593622589567083025e+00,1.073982921375569166e+00,1.053495882874143641e+00,1.204031250000000108e+00
9.843999767384326915e+00,1.077324243309917051e+00,1.047558152930726738e+00,1.202390625000000046e+00
1.009935402851608188e+01,1.024439769174285919e+00,1.038907269512996168e+00,1.200476562500000011e+00
1.035975363205969302e+01,1.032628567623440574e+00,1.029495024756025723e+00,1.198562499999999975e+00
1.062526735578194170e+01,1.004152678618986716e+00,1.025057784181988563e+00,1.196921875000000135e+00
1.089596449690149704e+01,9.997510430568790074e-01,1.021086217042371791e+00,1.194734375000000126e+00
1.117191487286765117e+01,1.004109888761336666e+00,1.021875334880830266e+00,1.192820312500000091e+00
1.145318882213537925e+01,9.902435434574079487e-01,1.023964889679040313e+00,1.190906250000000055e+00
1.173985720493677398e+01,1.036427272334411676e+00,1.025676134599782019e+00,1.188718750000000046e+00
1.203199140404887402e+01,9.834451825464595176e-01,1.029168120538493714e+00,1.186804687500000011e+00
1.232966332555794153e+01,1.011378123202587798e+00,1.031701223943074952e+00,1.184617187500000002e+00
1.263294539962022078e+01,1.002785911087001214e+00,1.032372783291616969e+00,1.182429687499999993e+00
1.294191058121921323e+01,1.030974354431636097e+00,1.031275497597544222e+00,1.180515624999999957e+00
1.325663235091950476e+01,1.030307957655510753e+00,1.030608634219619901e+00,1.178328124999999948e+00
1.357718471561718765e+01,9.921810038289740064e-01,1.032228291925768815e+00,1.175867187499999966e+00
1.390364220928690031e+01,1.037657691649999547e+00,1.031215947281567180e+00,1.173679687499999957e+00
1.423607989372553462e+01,1.048744363580225381e+00,1.033420700025741601e+00,1.171492187499999948e+00
1.457457335929263031e+01,1.046884363567234244e+00,1.035789119060211982e+00,1.169304687499999940e+00
1.491919872564750271e+01,1.074682211410074917e+00,1.039203930021757261e+00,1.167117187499999931e+00
